change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,laserfiche__411320__minutes,2019-12-03,2020,laserfiche,minutes,regular,12-03-2019 Minutes
added,destinyhosted__20191203_62/AGENDApacket__12-03-19_1025_61.pdf__agenda_packet,2019-12-03,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__410816__minutes,2019-11-18,2020,laserfiche,minutes,regular,11-18-2019 Minutes
added,destinyhosted__20191118_58/AGENDApacket__11-18-19_0337_57.pdf__agenda_packet,2019-11-18,2020,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__410815__minutes,2019-11-12,2020,laserfiche,minutes,regular,11-12-2019 Minutes
added,laserfiche__409516__minutes,2019-10-22,2020,laserfiche,minutes,regular,10-22-2019 Minutes
added,laserfiche__409486__minutes,2019-09-24,2019,laserfiche,minutes,regular,09-24-2019 Minutes
added,destinyhosted__20190924_44/AGENDApacket__09-24-19_0209_44.pdf__agenda_packet,2019-09-24,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__405581__minutes,2019-09-10,2019,laserfiche,minutes,regular,09-10-2019 Minutes
added,destinyhosted__20190910_38/AGENDApacket__09-10-19_0309_38.pdf__agenda_packet,2019-09-10,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__405582__minutes,2019-09-03,2019,laserfiche,minutes,regular,09-03-2019 Minutes
added,destinyhosted__20190903_37/AGENDApacket__09-03-19_1017_37.pdf__agenda_packet,2019-09-03,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__404479__minutes,2019-08-27,2019,laserfiche,minutes,regular,08-27-2019 Minutes
added,destinyhosted__20190827_32/AGENDApacket__08-27-19_0252_32.pdf__agenda_packet,2019-08-27,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__403698__minutes,2019-08-13,2019,laserfiche,minutes,regular,08-13-2019 Minutes
added,laserfiche__402778__minutes,2019-08-06,2019,laserfiche,minutes,regular,08-06-2019 Minutes
added,laserfiche__402779__minutes,2019-08-02,2019,laserfiche,minutes,workshop,08-02-2019 Special Workshop minutes
added,laserfiche__402350__minutes,2019-07-23,2019,laserfiche,minutes,regular,07-23-2019 Minutes
added,laserfiche__401332__minutes,2019-07-09,2019,laserfiche,minutes,regular,07-09-2019 Minutes
added,destinyhosted__20190709_21/AGENDApacket__07-09-19_1145_21.pdf__agenda_packet,2019-07-09,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__400261__minutes,2019-06-25,2019,laserfiche,minutes,regular,06-25-2019 Minutes
added,laserfiche__399400__minutes,2019-06-11,2019,laserfiche,minutes,regular,06-11-2019 Minutes
added,laserfiche__398758__minutes,2019-06-04,2019,laserfiche,minutes,regular,06-04-2019 Minutes
added,destinyhosted__20190604_4/AGENDApacket__06-04-19_1237_4.pdf__agenda_packet,2019-06-04,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__398360__minutes,2019-05-28,2019,laserfiche,minutes,regular,05-28-2019 Minutes
added,destinyhosted__20190528_2/AGENDApacket__05-28-19_0318_2.pdf__agenda_packet,2019-05-28,2019,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__398359__minutes,2019-05-21,2019,laserfiche,minutes,special,05-21-2019 Minutes Special Meeting Council on the Go
added,laserfiche__398150__minutes,2019-05-14,2019,laserfiche,minutes,regular,05-14-2019 Minutes
added,laserfiche__397564__minutes,2019-05-07,2019,laserfiche,minutes,regular,05-07-2019 Minutes
added,laserfiche__397160__minutes,2019-04-23,2019,laserfiche,minutes,regular,04-23-2019 Minutes
added,laserfiche__396692__minutes,2019-04-16,2019,laserfiche,minutes,special,04-16-2019 Minutes Special Meeting Council on the Go
added,laserfiche__396691__minutes,2019-04-09,2019,laserfiche,minutes,regular,04-09-2019 Minutes
added,laserfiche__396690__minutes,2019-04-05,2019,laserfiche,minutes,special,04-05-2019 Special Pre-Budget Meeting
added,laserfiche__395566__minutes,2019-04-02,2019,laserfiche,minutes,regular,04-02-2019 Minutes
added,laserfiche__395475__minutes,2019-03-26,2019,laserfiche,minutes,regular,03-26-2019 Minutes
added,laserfiche__395078__minutes,2019-03-19,2019,laserfiche,minutes,special,03-19-2019 Minutes-Special Meeting HOA
added,laserfiche__395080__minutes,2019-03-12,2019,laserfiche,minutes,regular,03-12-2019 Minutes
added,laserfiche__394202__minutes,2019-03-05,2019,laserfiche,minutes,regular,03-05-2019 Minutes
added,laserfiche__393875__minutes,2019-02-26,2019,laserfiche,minutes,regular,02-26-2019 Minutes
added,laserfiche__393519__minutes,2019-02-19,2019,laserfiche,minutes,special,02-19-2019 Minutes Special Meeting Council on the Go
added,laserfiche__393518__minutes,2019-02-12,2019,laserfiche,minutes,regular,02-12-2019 Minutes
added,laserfiche__396766__minutes,2019-02-05,2019,laserfiche,minutes,regular,02-05-2019 Minutes
added,laserfiche__392502__minutes,2019-01-22,2019,laserfiche,minutes,regular,01-22-2019 Minutes
added,laserfiche__391347__minutes,2019-01-08,2019,laserfiche,minutes,regular,01-08-2019 Minutes
added,laserfiche__390453__minutes,2018-12-19,2019,laserfiche,minutes,regular,12-19-2018 Emergency Minutes
added,laserfiche__390451__minutes,2018-12-11,2019,laserfiche,minutes,regular,12-11-2018 Minutes
added,laserfiche__387266__minutes,2018-11-27,2019,laserfiche,minutes,regular,11-27-2018 Minutes
added,laserfiche__387052__minutes,2018-11-20,2019,laserfiche,minutes,special,11-20-2018 Minutes-Special Meeting
added,laserfiche__387050__minutes,2018-11-13,2019,laserfiche,minutes,regular,11-13-2018 Minutes
added,laserfiche__386380__minutes,2018-11-08,2019,laserfiche,minutes,special,11-08-2018 Minutes-Special Meeting
added,laserfiche__386379__minutes,2018-10-30,2019,laserfiche,minutes,special,10-30-2018 Minutes-Special Meeting
added,laserfiche__387051__minutes,2018-10-23,2019,laserfiche,minutes,regular,10-23-2018 Minutes
added,laserfiche__378559__minutes,2018-09-29,2018,laserfiche,minutes,regular,09-29-2018 Minutes
added,laserfiche__378558__minutes,2018-09-25,2018,laserfiche,minutes,regular,09-25-2018 Minutes
added,laserfiche__378557__minutes,2018-09-18,2018,laserfiche,minutes,special,09-18-2018 Minutes special HOA
added,laserfiche__375560__minutes,2018-09-11,2018,laserfiche,minutes,regular,09-11-2018 Minutes
added,laserfiche__374985__minutes,2018-09-04,2018,laserfiche,minutes,regular,09-04-2018 Minutes
added,laserfiche__374986__minutes,2018-09-04,2018,laserfiche,minutes,regular,09-04-2018 Minutes Attachment - Animal Shelter
added,laserfiche__374521__minutes,2018-08-28,2018,laserfiche,minutes,regular,08-28-2018 Minutes
added,laserfiche__374167__minutes,2018-08-22,2018,laserfiche,minutes,special,08-22-2018 Minutes Special
added,laserfiche__374164__minutes,2018-08-16,2018,laserfiche,minutes,special,08-16-2018 Minutes Special
added,laserfiche__374166__minutes,2018-08-14,2018,laserfiche,minutes,regular,08-14-2018 Minutes
added,laserfiche__374518__minutes,2018-08-07,2018,laserfiche,minutes,regular,08-07-2018 Minutes
added,laserfiche__374165__minutes,2018-08-03,2018,laserfiche,minutes,special,08-03-2018 Minutes Special
added,laserfiche__372741__minutes,2018-07-24,2018,laserfiche,minutes,regular,07-24-2018 Minutes
